Username,Topic_ID,Topic_Label,Rank_1_QID,Rank_2_QID,Rank_3_QID,Rank_4_QID,UpdatedAt
P96,1,Indoor Temperature Control,1-2,1-1,1-4,1-3,2026-04-13 03:20:10
P96,2,Air Quality & Ventilation,2-3,2-2,2-1,2-4,2026-04-13 03:20:10
P96,3,Lighting & Daylight,3-2,3-1,3-4,3-3,2026-04-13 03:20:10
P96,4,Noise & Acoustics,4-1,4-4,4-3,4-2,2026-04-13 03:20:10
P96,5,Energy Consumption,5-3,5-4,5-2,5-1,2026-04-13 03:20:10
P96,6,Security & Access Control,6-1,6-4,6-3,6-2,2026-04-13 03:20:10
P96,7,Occupancy & Space Utilisation,7-2,7-4,7-1,7-3,2026-04-13 03:20:10
P96,8,Fire Safety & Emergency,8-3,8-2,8-4,8-1,2026-04-13 03:20:10
P96,10,Waste & Recycling,10-2,10-1,10-3,10-4,2026-04-13 03:20:10
P96,12,Green Spaces & Biodiversity,12-3,12-2,12-1,12-4,2026-04-13 03:20:10
P78,3,Lighting & Daylight,3-1,3-3,3-4,3-2,2026-04-12 15:35:33
P78,5,Energy Consumption,5-1,5-3,5-4,5-2,2026-04-12 15:35:33
P78,7,Occupancy & Space Utilisation,7-2,7-3,7-1,7-4,2026-04-12 15:35:33
P78,8,Fire Safety & Emergency,8-3,8-1,8-4,8-2,2026-04-12 15:35:33
P78,10,Waste & Recycling,10-3,10-1,10-2,10-4,2026-04-12 15:35:33
P78,11,Renewable Energy & Solar,11-2,11-4,11-1,11-3,2026-04-12 15:35:33
P78,13,Health & Well-being,13-3,13-2,13-1,13-4,2026-04-12 15:35:33
P78,15,"Lifts, Stairs & Internal Transport",15-2,15-3,15-1,15-4,2026-04-12 15:35:33
P78,16,Parking & EV Charging,16-2,16-1,16-4,16-3,2026-04-12 15:35:33
P78,19,Building Maintenance & Faults,19-2,19-1,19-4,19-3,2026-04-12 15:35:33
P82,1,Indoor Temperature Control,1-1,1-3,1-2,1-4,2026-04-12 15:22:23
P82,2,Air Quality & Ventilation,2-3,2-2,2-1,2-4,2026-04-12 15:22:23
P82,3,Lighting & Daylight,3-2,3-1,3-4,3-3,2026-04-12 15:22:23
P82,4,Noise & Acoustics,4-1,4-4,4-3,4-2,2026-04-12 15:22:23
P82,5,Energy Consumption,5-1,5-3,5-2,5-4,2026-04-12 15:22:23
P82,6,Security & Access Control,6-2,6-1,6-4,6-3,2026-04-12 15:22:23
P82,8,Fire Safety & Emergency,8-3,8-2,8-1,8-4,2026-04-12 15:22:23
P82,10,Waste & Recycling,10-2,10-3,10-4,10-1,2026-04-12 15:22:23
P82,11,Renewable Energy & Solar,11-1,11-3,11-4,11-2,2026-04-12 15:22:23
P82,13,Health & Well-being,13-2,13-1,13-4,13-3,2026-04-12 15:22:23
P67,1,Indoor Temperature Control,1-1,1-4,1-3,1-2,2026-04-12 14:24:11
P67,3,Lighting & Daylight,3-1,3-3,3-2,3-4,2026-04-12 14:24:11
P67,4,Noise & Acoustics,4-2,4-1,4-4,4-3,2026-04-12 14:24:11
P67,6,Security & Access Control,6-1,6-3,6-2,6-4,2026-04-12 14:24:11
P67,7,Occupancy & Space Utilisation,7-1,7-3,7-2,7-4,2026-04-12 14:24:11
P67,9,Water Management,9-2,9-1,9-4,9-3,2026-04-12 14:24:11
P67,10,Waste & Recycling,10-1,10-4,10-3,10-2,2026-04-12 14:24:11
P67,11,Renewable Energy & Solar,11-2,11-4,11-3,11-1,2026-04-12 14:24:11
P67,12,Green Spaces & Biodiversity,12-1,12-3,12-2,12-4,2026-04-12 14:24:11
P67,14,IoT Sensors & Data Analytics,14-1,14-4,14-3,14-2,2026-04-12 14:24:11
P92,1,Indoor Temperature Control,1-2,1-1,1-3,1-4,2026-04-12 12:12:00
P92,2,Air Quality & Ventilation,2-1,2-4,2-3,2-2,2026-04-12 12:12:00
P92,3,Lighting & Daylight,3-1,3-3,3-4,3-2,2026-04-12 12:12:00
P92,5,Energy Consumption,5-1,5-3,5-4,5-2,2026-04-12 12:12:00
P92,6,Security & Access Control,6-4,6-3,6-1,6-2,2026-04-12 12:12:00
P92,8,Fire Safety & Emergency,8-2,8-1,8-4,8-3,2026-04-12 12:12:00
P92,12,Green Spaces & Biodiversity,12-1,12-3,12-2,12-4,2026-04-12 12:12:00
P92,15,"Lifts, Stairs & Internal Transport",15-1,15-4,15-3,15-2,2026-04-12 12:12:00
P92,18,User Apps & Digital Interaction,18-4,18-3,18-2,18-1,2026-04-12 12:12:00
P92,20,Carbon Footprint & Net Zero,20-1,20-3,20-4,20-2,2026-04-12 12:12:00
P48,1,Indoor Temperature Control,1-3,1-1,1-4,1-2,2026-04-12 12:00:26
P48,2,Air Quality & Ventilation,2-2,2-1,2-4,2-3,2026-04-12 12:00:26
P48,3,Lighting & Daylight,3-1,3-4,3-3,3-2,2026-04-12 12:00:26
P48,4,Noise & Acoustics,4-1,4-4,4-3,4-2,2026-04-12 12:00:26
P48,5,Energy Consumption,5-2,5-1,5-4,5-3,2026-04-12 12:00:26
P48,6,Security & Access Control,6-1,6-3,6-4,6-2,2026-04-12 12:00:26
P48,7,Occupancy & Space Utilisation,7-1,7-4,7-3,7-2,2026-04-12 12:00:26
P48,8,Fire Safety & Emergency,8-1,8-4,8-3,8-2,2026-04-12 12:00:26
P48,9,Water Management,9-2,9-1,9-4,9-3,2026-04-12 12:00:26
P48,13,Health & Well-being,13-2,13-1,13-4,13-3,2026-04-12 12:00:26
P90,2,Air Quality & Ventilation,2-1,2-4,2-2,2-3,2026-04-12 09:38:59
P90,5,Energy Consumption,5-1,5-3,5-2,5-4,2026-04-12 09:38:59
P90,6,Security & Access Control,6-4,6-3,6-1,6-2,2026-04-12 09:38:59
P90,7,Occupancy & Space Utilisation,7-1,7-4,7-3,7-2,2026-04-12 09:38:59
P90,8,Fire Safety & Emergency,8-1,8-2,8-3,8-4,2026-04-12 09:38:59
P90,9,Water Management,9-1,9-3,9-2,9-4,2026-04-12 09:38:59
P90,10,Waste & Recycling,10-4,10-2,10-3,10-1,2026-04-12 09:38:59
P90,13,Health & Well-being,13-1,13-4,13-3,13-2,2026-04-12 09:38:59
P90,19,Building Maintenance & Faults,19-1,19-3,19-2,19-4,2026-04-12 09:38:59
P90,20,Carbon Footprint & Net Zero,20-3,20-1,20-4,20-2,2026-04-12 09:38:59
P56,1,Indoor Temperature Control,1-1,1-3,1-4,1-2,2026-04-12 08:41:29
P56,2,Air Quality & Ventilation,2-4,2-3,2-2,2-1,2026-04-12 08:41:29
P56,4,Noise & Acoustics,4-1,4-3,4-2,4-4,2026-04-12 08:41:29
P56,5,Energy Consumption,5-3,5-4,5-2,5-1,2026-04-12 08:41:29
P56,7,Occupancy & Space Utilisation,7-1,7-4,7-2,7-3,2026-04-12 08:41:29
P56,8,Fire Safety & Emergency,8-3,8-1,8-4,8-2,2026-04-12 08:41:29
P56,9,Water Management,9-3,9-1,9-2,9-4,2026-04-12 08:41:29
P56,12,Green Spaces & Biodiversity,12-4,12-1,12-3,12-2,2026-04-12 08:41:29
P56,14,IoT Sensors & Data Analytics,14-4,14-1,14-3,14-2,2026-04-12 08:41:29
P56,17,Building Automation & AI,17-4,17-3,17-2,17-1,2026-04-12 08:41:29
P51,1,Indoor Temperature Control,1-1,1-3,1-2,1-4,2026-04-12 01:04:34
P51,2,Air Quality & Ventilation,2-2,2-4,2-3,2-1,2026-04-12 01:04:34
P51,5,Energy Consumption,5-2,5-1,5-4,5-3,2026-04-12 01:04:34
P51,6,Security & Access Control,6-1,6-4,6-3,6-2,2026-04-12 01:04:34
P51,7,Occupancy & Space Utilisation,7-3,7-2,7-1,7-4,2026-04-12 01:04:34
P51,8,Fire Safety & Emergency,8-1,8-3,8-4,8-2,2026-04-12 01:04:34
P51,10,Waste & Recycling,10-2,10-1,10-4,10-3,2026-04-12 01:04:34
P51,12,Green Spaces & Biodiversity,12-3,12-2,12-1,12-4,2026-04-12 01:04:34
P51,13,Health & Well-being,13-2,13-1,13-3,13-4,2026-04-12 01:04:34
P51,16,Parking & EV Charging,16-2,16-4,16-1,16-3,2026-04-12 01:04:34
P89,1,Indoor Temperature Control,1-1,1-3,1-4,1-2,2026-04-11 23:06:08
P89,2,Air Quality & Ventilation,2-3,2-2,2-1,2-4,2026-04-11 23:06:08
P89,4,Noise & Acoustics,4-4,4-3,4-2,4-1,2026-04-11 23:06:08
P89,6,Security & Access Control,6-1,6-3,6-4,6-2,2026-04-11 23:06:08
P89,7,Occupancy & Space Utilisation,7-1,7-3,7-2,7-4,2026-04-11 23:06:08
P89,11,Renewable Energy & Solar,11-3,11-2,11-1,11-4,2026-04-11 23:06:08
P89,12,Green Spaces & Biodiversity,12-2,12-1,12-4,12-3,2026-04-11 23:06:08
P89,13,Health & Well-being,13-4,13-3,13-2,13-1,2026-04-11 23:06:08
P89,14,IoT Sensors & Data Analytics,14-1,14-3,14-4,14-2,2026-04-11 23:06:08
P89,15,"Lifts, Stairs & Internal Transport",15-2,15-4,15-1,15-3,2026-04-11 23:06:08
P88,1,Indoor Temperature Control,1-3,1-4,1-1,1-2,2026-04-11 22:43:10
P88,3,Lighting & Daylight,3-2,3-3,3-1,3-4,2026-04-11 22:43:10
P88,8,Fire Safety & Emergency,8-2,8-3,8-4,8-1,2026-04-11 22:43:10
P88,9,Water Management,9-3,9-1,9-4,9-2,2026-04-11 22:43:10
P88,10,Waste & Recycling,10-3,10-1,10-4,10-2,2026-04-11 22:43:10
P88,14,IoT Sensors & Data Analytics,14-2,14-1,14-3,14-4,2026-04-11 22:43:10
P88,15,"Lifts, Stairs & Internal Transport",15-2,15-4,15-1,15-3,2026-04-11 22:43:10
P88,16,Parking & EV Charging,16-2,16-4,16-3,16-1,2026-04-11 22:43:10
P88,18,User Apps & Digital Interaction,18-2,18-4,18-1,18-3,2026-04-11 22:43:10
P88,19,Building Maintenance & Faults,19-3,19-1,19-4,19-2,2026-04-11 22:43:10
P30,1,Indoor Temperature Control,1-2,1-1,1-4,1-3,2026-04-11 21:32:52
P30,2,Air Quality & Ventilation,2-1,2-3,2-4,2-2,2026-04-11 21:32:52
P30,3,Lighting & Daylight,3-1,3-4,3-3,3-2,2026-04-11 21:32:52
P30,4,Noise & Acoustics,4-2,4-4,4-3,4-1,2026-04-11 21:32:52
P30,5,Energy Consumption,5-1,5-3,5-2,5-4,2026-04-11 21:32:52
P30,6,Security & Access Control,6-2,6-1,6-4,6-3,2026-04-11 21:32:52
P30,7,Occupancy & Space Utilisation,7-2,7-1,7-4,7-3,2026-04-11 21:32:52
P30,8,Fire Safety & Emergency,8-1,8-3,8-4,8-2,2026-04-11 21:32:52
P30,10,Waste & Recycling,10-3,10-2,10-1,10-4,2026-04-11 21:32:52
P30,13,Health & Well-being,13-1,13-2,13-4,13-3,2026-04-11 21:32:52
P87,1,Indoor Temperature Control,1-3,1-2,1-1,1-4,2026-04-11 21:31:06
P87,3,Lighting & Daylight,3-3,3-2,3-1,3-4,2026-04-11 21:31:06
P87,4,Noise & Acoustics,4-1,4-3,4-4,4-2,2026-04-11 21:31:06
P87,5,Energy Consumption,5-1,5-3,5-4,5-2,2026-04-11 21:31:06
P87,7,Occupancy & Space Utilisation,7-4,7-3,7-2,7-1,2026-04-11 21:31:06
