personas,n,mean_level,mean_latent,pct_requires_ext,pct_general_knowledge
Student/Researchers/Academics,1375,2.4,3.57,80.8,5.45
Guests/Visitors,1233,2.13,3.25,74.13,10.62
Occupants/Tenants/Employees,875,2.17,3.45,80.69,4.23
IT/Data Scientists,606,2.61,2.78,51.16,38.28
Facility Managers / Building Maintenance Teams,330,2.65,2.84,59.39,28.79
Health and Safety Officers,329,2.91,3.47,71.43,14.59
Sustainability and Energy Management Teams,281,3.24,4.43,96.44,1.42
Building Owners/Property Managers,198,2.44,2.54,41.92,47.98
Occupants/Tenants/Employees; Student/Researchers/Academics,146,2.21,3.7,84.93,0.0
Occupants/Tenants/Employees; Guests/Visitors,139,1.87,3.52,66.19,9.35
Sustainability and Energy Management Teams; Guests/Visitors,90,2.64,3.58,65.56,12.22
Guests/Visitors; Vendors/Service Providers; Student/Researchers/Academics; Facility Managers / Building Maintenance Teams; Occupants/Tenants/Employees; Sustainability and Energy Management Teams,81,2.78,4.14,88.89,1.23
Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,80,2.85,3.8,81.25,2.5
Building Owners/Property Managers; IT/Data Scientists; Real Estate Developers,80,2.51,3.88,80.0,11.25
Building Owners/Property Managers; Occupants/Tenants/Employees; Facility Managers / Building Maintenance Teams,78,1.85,3.21,89.74,1.28
IT/Data Scientists; Building Owners/Property Managers,69,2.0,3.65,82.61,4.35
Guests/Visitors; Occupants/Tenants/Employees,64,1.53,2.89,78.12,0.0
Building Owners/Property Managers; Facility Managers / Building Maintenance Teams,38,1.92,3.5,92.11,0.0
Occupants/Tenants/Employees; Sustainability and Energy Management Teams,34,2.32,3.09,70.59,5.88
Building Owners/Property Managers; Health and Safety Officers,27,4.33,1.59,11.11,74.07
Sustainability and Energy Management Teams; IT/Data Scientists; Student/Researchers/Academics,4,1.5,1.75,25.0,0.0
