dimension,code,n,pct
domain_l1,OTHER,1467,20.51
domain_l1,ENERGY,1250,17.48
domain_l1,SAFETY,763,10.67
domain_l1,AIR_QUALITY,686,9.59
domain_l1,THERMAL,594,8.31
domain_l1,LIGHTING,334,4.67
domain_l1,SECURITY,312,4.36
domain_l1,OCCUPANCY,262,3.66
domain_l1,SUSTAINABILITY,258,3.61
domain_l1,MAINTENANCE,224,3.13
domain_l1,WATER,213,2.98
domain_l1,WELLBEING,208,2.91
domain_l1,WAYFINDING,167,2.34
domain_l1,INFO_REQUEST,117,1.64
domain_l1,CONTROL,59,0.83
domain_l1,TRANSPORT,56,0.78
domain_l1,PRIVACY,53,0.74
domain_l1,ACCESSIBILITY,46,0.64
domain_l1,WASTE,41,0.57
domain_l1,WEATHER_OUTDOOR,41,0.57
query_type_l2,STATUS,4793,67.03
query_type_l2,CAPABILITY,1704,23.83
query_type_l2,COMPARISON,175,2.45
query_type_l2,ANOMALY,160,2.24
query_type_l2,RECOMMENDATION,128,1.79
query_type_l2,DIAGNOSTIC,123,1.72
query_type_l2,HISTORICAL,68,0.95
intent,INFORMATIONAL,6558,91.71
intent,DIAGNOSTIC,280,3.92
intent,PRESCRIPTIVE,230,3.22
intent,PREDICTIVE,83,1.16
temporal,STATIC,6429,89.9
temporal,REALTIME,570,7.97
temporal,HISTORICAL,79,1.1
temporal,PREDICTIVE,73,1.02
spatial,UNSPECIFIED,5287,73.93
spatial,BUILDING,998,13.96
spatial,ROOM,711,9.94
spatial,FLOOR,119,1.66
spatial,CAMPUS,22,0.31
spatial,POINT,14,0.2
complexity,LOOKUP,6293,88.0
complexity,AGGREGATION,610,8.53
complexity,MULTI_STEP,248,3.47
