TopicID,TopicLabel,n_rankers,mean_rank,median_rank,mode_rank,borda_score,ci95_low,ci95_high
2,Air Quality & Ventilation,91,5.857,5.0,2,1378.0,4.956,6.89
1,Indoor Temperature Control,91,5.978,5.0,1,1367.0,5.088,6.857
8,Fire Safety & Emergency,91,7.077,6.0,8,1267.0,6.121,8.0
6,Security & Access Control,91,7.374,6.0,3,1240.0,6.176,8.473
5,Energy Consumption,91,8.352,6.0,2,1151.0,7.187,9.473
3,Lighting & Daylight,91,8.681,9.0,3,1121.0,7.637,9.748
13,Health & Well-being,91,9.374,9.0,10,1058.0,8.11,10.561
7,Occupancy & Space Utilisation,91,9.813,9.0,7,1018.0,8.846,10.857
9,Water Management,91,9.923,9.0,6,1008.0,8.824,10.956
4,Noise & Acoustics,91,10.648,11.0,14,942.0,9.604,11.627
10,Waste & Recycling,91,10.802,12.0,13,928.0,9.757,11.989
11,Renewable Energy & Solar,91,11.022,12.0,12,908.0,9.934,12.121
12,Green Spaces & Biodiversity,91,11.747,11.0,20,842.0,10.582,12.99
14,IoT Sensors & Data Analytics,91,11.89,12.0,7,829.0,10.879,12.88
19,Building Maintenance & Faults,91,12.286,14.0,14,793.0,11.143,13.297
15,"Lifts, Stairs & Internal Transport",91,13.22,13.0,13,708.0,12.319,14.242
20,Carbon Footprint & Net Zero,91,13.736,16.0,20,661.0,12.505,14.945
16,Parking & EV Charging,91,13.769,15.0,15,658.0,12.901,14.571
17,Building Automation & AI,91,13.835,15.0,15,652.0,12.912,14.736
18,User Apps & Digital Interaction,91,14.615,16.0,18,581.0,13.637,15.528
