PrimaryRole,Level,n,mean_rank,pct_rank1
Building Owners,1,30,1.833,43.33
Building Owners,2,30,2.433,26.67
Building Owners,3,30,2.667,20.0
Building Owners,4,30,3.067,10.0
Facility Managers,1,40,2.65,17.5
Facility Managers,2,40,2.325,35.0
Facility Managers,3,40,2.175,37.5
Facility Managers,4,40,2.85,10.0
Guests,1,150,2.54,36.0
Guests,2,150,2.393,22.0
Guests,3,150,2.64,13.33
Guests,4,150,2.427,28.67
Health and Safety Officers,1,20,2.15,40.0
Health and Safety Officers,2,20,2.05,35.0
Health and Safety Officers,3,20,2.75,20.0
Health and Safety Officers,4,20,3.05,5.0
IT,1,50,2.4,18.0
IT,2,50,2.28,44.0
IT,3,50,2.5,30.0
IT,4,50,2.82,8.0
Occupants,1,100,1.83,58.0
Occupants,2,100,2.4,18.0
Occupants,3,100,2.73,6.0
Occupants,4,100,3.04,18.0
Student,1,140,1.993,47.86
Student,2,140,2.643,24.29
Student,3,140,2.671,14.29
Student,4,140,2.693,13.57
