Domain,Label,N,GROUNDED_n,INFORMATIONAL_n,DISAMBIGUATION_n,BOUNDARY_n,FAILED_n,Answer_rate_pct,AR_CI_lo,AR_CI_hi,Grounded_rate_pct,Latency_median_s,Latency_p90_s
PRIVACY,PRIVACY,53,14,32,7,0,0,86.79,75.16,93.45,26.42,4.65,6.95
CONTROL,CONTROL,59,10,41,5,3,0,86.44,75.46,92.97,16.95,5.16,13.49
WASTE,WASTE,41,10,24,6,1,0,82.93,68.74,91.47,24.39,4.69,13.27
SUSTAINABILITY,SUSTAINABILITY,258,92,111,44,7,4,78.68,73.28,83.24,35.66,4.79,15.09
LIGHTING,Lighting,334,85,157,75,16,1,72.46,67.43,76.97,25.45,4.95,12.48
AIR_QUALITY,Air Quality & IAQ,686,217,270,169,22,8,70.99,67.49,74.26,31.63,5.69,15.38
THERMAL,Thermal Comfort,594,196,210,177,7,4,68.35,64.5,71.96,33.0,5.04,15.1
INFO_REQUEST,INFO_REQUEST,117,14,65,18,19,1,67.52,58.6,75.33,11.97,4.92,14.6
ENERGY,Energy & Power,1250,524,312,286,114,14,66.88,64.22,69.43,41.92,5.02,15.83
SECURITY,Security & Access,312,58,149,63,36,6,66.35,60.93,71.36,18.59,5.49,16.92
WELLBEING,WELLBEING,208,53,85,52,15,3,66.35,59.68,72.42,25.48,5.29,12.32
OTHER,Other / Cross-domain,1467,177,782,418,79,11,65.37,62.9,67.76,12.07,4.69,11.12
WATER,WATER,213,44,94,46,28,1,64.79,58.16,70.89,20.66,5.61,15.7
SAFETY,Safety & Compliance,763,219,260,244,40,0,62.78,59.29,66.14,28.7,0.05,9.96
MAINTENANCE,MAINTENANCE,224,38,102,50,33,1,62.5,56.0,68.58,16.96,5.59,15.1
WAYFINDING,WAYFINDING,167,19,85,40,19,4,62.28,54.73,69.27,11.38,5.03,13.88
WEATHER_OUTDOOR,WEATHER_OUTDOOR,41,8,17,7,8,1,60.98,45.73,74.34,19.51,4.91,17.26
ACCESSIBILITY,ACCESSIBILITY,46,4,21,10,10,1,54.35,40.18,67.85,8.7,5.97,15.58
OCCUPANCY,Occupancy & Space,262,65,73,89,34,1,52.67,46.63,58.64,24.81,4.95,14.45
TRANSPORT,TRANSPORT,56,9,14,16,16,1,41.07,29.17,54.12,16.07,6.24,15.66
