Username,Topic_ID,Topic_Label,Rank_1_QID,Rank_2_QID,Rank_3_QID,Rank_4_QID,UpdatedAt
mae baker,1,Indoor Temperature Control,1-2,1-1,1-4,1-3,2026-04-13 03:20:10
mae baker,2,Air Quality & Ventilation,2-3,2-2,2-1,2-4,2026-04-13 03:20:10
mae baker,3,Lighting & Daylight,3-2,3-1,3-4,3-3,2026-04-13 03:20:10
mae baker,4,Noise & Acoustics,4-1,4-4,4-3,4-2,2026-04-13 03:20:10
mae baker,5,Energy Consumption,5-3,5-4,5-2,5-1,2026-04-13 03:20:10
mae baker,6,Security & Access Control,6-1,6-4,6-3,6-2,2026-04-13 03:20:10
mae baker,7,Occupancy & Space Utilisation,7-2,7-4,7-1,7-3,2026-04-13 03:20:10
mae baker,8,Fire Safety & Emergency,8-3,8-2,8-4,8-1,2026-04-13 03:20:10
mae baker,10,Waste & Recycling,10-2,10-1,10-3,10-4,2026-04-13 03:20:10
mae baker,12,Green Spaces & Biodiversity,12-3,12-2,12-1,12-4,2026-04-13 03:20:10
codefusion lab,3,Lighting & Daylight,3-1,3-3,3-4,3-2,2026-04-12 15:35:33
codefusion lab,5,Energy Consumption,5-1,5-3,5-4,5-2,2026-04-12 15:35:33
codefusion lab,7,Occupancy & Space Utilisation,7-2,7-3,7-1,7-4,2026-04-12 15:35:33
codefusion lab,8,Fire Safety & Emergency,8-3,8-1,8-4,8-2,2026-04-12 15:35:33
codefusion lab,10,Waste & Recycling,10-3,10-1,10-2,10-4,2026-04-12 15:35:33
codefusion lab,11,Renewable Energy & Solar,11-2,11-4,11-1,11-3,2026-04-12 15:35:33
codefusion lab,13,Health & Well-being,13-3,13-2,13-1,13-4,2026-04-12 15:35:33
codefusion lab,15,"Lifts, Stairs & Internal Transport",15-2,15-3,15-1,15-4,2026-04-12 15:35:33
codefusion lab,16,Parking & EV Charging,16-2,16-1,16-4,16-3,2026-04-12 15:35:33
codefusion lab,19,Building Maintenance & Faults,19-2,19-1,19-4,19-3,2026-04-12 15:35:33
ernestine,1,Indoor Temperature Control,1-1,1-3,1-2,1-4,2026-04-12 15:22:23
ernestine,2,Air Quality & Ventilation,2-3,2-2,2-1,2-4,2026-04-12 15:22:23
ernestine,3,Lighting & Daylight,3-2,3-1,3-4,3-3,2026-04-12 15:22:23
ernestine,4,Noise & Acoustics,4-1,4-4,4-3,4-2,2026-04-12 15:22:23
ernestine,5,Energy Consumption,5-1,5-3,5-2,5-4,2026-04-12 15:22:23
ernestine,6,Security & Access Control,6-2,6-1,6-4,6-3,2026-04-12 15:22:23
ernestine,8,Fire Safety & Emergency,8-3,8-2,8-1,8-4,2026-04-12 15:22:23
ernestine,10,Waste & Recycling,10-2,10-3,10-4,10-1,2026-04-12 15:22:23
ernestine,11,Renewable Energy & Solar,11-1,11-3,11-4,11-2,2026-04-12 15:22:23
ernestine,13,Health & Well-being,13-2,13-1,13-4,13-3,2026-04-12 15:22:23
david witham,1,Indoor Temperature Control,1-1,1-4,1-3,1-2,2026-04-12 14:24:11
david witham,3,Lighting & Daylight,3-1,3-3,3-2,3-4,2026-04-12 14:24:11
david witham,4,Noise & Acoustics,4-2,4-1,4-4,4-3,2026-04-12 14:24:11
david witham,6,Security & Access Control,6-1,6-3,6-2,6-4,2026-04-12 14:24:11
david witham,7,Occupancy & Space Utilisation,7-1,7-3,7-2,7-4,2026-04-12 14:24:11
david witham,9,Water Management,9-2,9-1,9-4,9-3,2026-04-12 14:24:11
david witham,10,Waste & Recycling,10-1,10-4,10-3,10-2,2026-04-12 14:24:11
david witham,11,Renewable Energy & Solar,11-2,11-4,11-3,11-1,2026-04-12 14:24:11
david witham,12,Green Spaces & Biodiversity,12-1,12-3,12-2,12-4,2026-04-12 14:24:11
david witham,14,IoT Sensors & Data Analytics,14-1,14-4,14-3,14-2,2026-04-12 14:24:11
pat,1,Indoor Temperature Control,1-2,1-1,1-3,1-4,2026-04-12 12:12:00
pat,2,Air Quality & Ventilation,2-1,2-4,2-3,2-2,2026-04-12 12:12:00
pat,3,Lighting & Daylight,3-1,3-3,3-4,3-2,2026-04-12 12:12:00
pat,5,Energy Consumption,5-1,5-3,5-4,5-2,2026-04-12 12:12:00
pat,6,Security & Access Control,6-4,6-3,6-1,6-2,2026-04-12 12:12:00
pat,8,Fire Safety & Emergency,8-2,8-1,8-4,8-3,2026-04-12 12:12:00
pat,12,Green Spaces & Biodiversity,12-1,12-3,12-2,12-4,2026-04-12 12:12:00
pat,15,"Lifts, Stairs & Internal Transport",15-1,15-4,15-3,15-2,2026-04-12 12:12:00
pat,18,User Apps & Digital Interaction,18-4,18-3,18-2,18-1,2026-04-12 12:12:00
pat,20,Carbon Footprint & Net Zero,20-1,20-3,20-4,20-2,2026-04-12 12:12:00
chadwick bricker,1,Indoor Temperature Control,1-3,1-1,1-4,1-2,2026-04-12 12:00:26
chadwick bricker,2,Air Quality & Ventilation,2-2,2-1,2-4,2-3,2026-04-12 12:00:26
chadwick bricker,3,Lighting & Daylight,3-1,3-4,3-3,3-2,2026-04-12 12:00:26
