dimension,code,n,pct
domain_l1,OTHER,1421,24.02
domain_l1,ENERGY,841,14.22
domain_l1,AIR_QUALITY,652,11.02
domain_l1,THERMAL,535,9.04
domain_l1,LIGHTING,319,5.39
domain_l1,SAFETY,298,5.04
domain_l1,SECURITY,296,5.0
domain_l1,OCCUPANCY,249,4.21
domain_l1,WATER,201,3.4
domain_l1,MAINTENANCE,197,3.33
domain_l1,WELLBEING,195,3.3
domain_l1,SUSTAINABILITY,165,2.79
domain_l1,WAYFINDING,161,2.72
domain_l1,INFO_REQUEST,116,1.96
domain_l1,CONTROL,57,0.96
domain_l1,TRANSPORT,56,0.95
domain_l1,ACCESSIBILITY,46,0.78
domain_l1,PRIVACY,45,0.76
domain_l1,WASTE,33,0.56
domain_l1,WEATHER_OUTDOOR,33,0.56
query_type_l2,STATUS,3871,65.43
query_type_l2,CAPABILITY,1514,25.59
query_type_l2,COMPARISON,144,2.43
query_type_l2,ANOMALY,121,2.05
query_type_l2,DIAGNOSTIC,117,1.98
query_type_l2,RECOMMENDATION,102,1.72
query_type_l2,HISTORICAL,47,0.79
intent,INFORMATIONAL,5458,92.26
intent,DIAGNOSTIC,235,3.97
intent,PRESCRIPTIVE,159,2.69
intent,PREDICTIVE,64,1.08
temporal,STATIC,5303,89.64
temporal,REALTIME,501,8.47
temporal,PREDICTIVE,59,1.0
temporal,HISTORICAL,53,0.9
spatial,UNSPECIFIED,4490,75.9
spatial,BUILDING,740,12.51
spatial,ROOM,608,10.28
spatial,FLOOR,60,1.01
spatial,POINT,14,0.24
spatial,CAMPUS,4,0.07
complexity,LOOKUP,5227,88.35
complexity,AGGREGATION,510,8.62
complexity,MULTI_STEP,179,3.03
