TopicID,TopicLabel,n_rankers,mean_rank,median_rank,mode_rank,borda_score,ci95_low,ci95_high
1,Indoor Temperature Control,75,5.493,5.0,1,1163.0,4.56,6.534
2,Air Quality & Ventilation,75,6.293,5.0,2,1103.0,5.186,7.441
8,Fire Safety & Emergency,75,6.307,6.0,2,1102.0,5.426,7.307
6,Security & Access Control,75,6.88,6.0,3,1059.0,5.733,8.054
3,Lighting & Daylight,75,7.867,8.0,3,985.0,6.706,9.053
5,Energy Consumption,75,7.96,6.0,2,978.0,6.68,9.173
13,Health & Well-being,75,9.053,9.0,10,896.0,7.826,10.453
9,Water Management,75,9.787,9.0,6,841.0,8.693,10.84
7,Occupancy & Space Utilisation,75,9.867,10.0,7,835.0,8.84,10.987
4,Noise & Acoustics,75,9.987,11.0,14,826.0,8.827,11.067
10,Waste & Recycling,75,11.067,12.0,4,745.0,9.946,12.267
11,Renewable Energy & Solar,75,11.413,12.0,11,719.0,10.253,12.56
12,Green Spaces & Biodiversity,75,11.947,11.0,19,679.0,10.667,13.267
19,Building Maintenance & Faults,75,12.667,14.0,14,625.0,11.707,13.774
15,"Lifts, Stairs & Internal Transport",75,13.053,13.0,13,596.0,11.813,14.147
14,IoT Sensors & Data Analytics,75,13.307,14.0,17,577.0,12.173,14.293
16,Parking & EV Charging,75,13.88,15.0,15,534.0,12.947,14.893
17,Building Automation & AI,75,14.013,15.0,17,524.0,12.96,15.0
18,User Apps & Digital Interaction,75,14.56,16.0,18,483.0,13.493,15.56
20,Carbon Footprint & Net Zero,75,14.6,16.0,20,480.0,13.346,15.733
