Domain,Label,N,GROUNDED_n,INFORMATIONAL_n,DISAMBIGUATION_n,BOUNDARY_n,FAILED_n,Answer_rate_pct,AR_CI_lo,AR_CI_hi,Grounded_rate_pct,Latency_median_s,Latency_p90_s
CONTROL,CONTROL,57,7,42,5,3,0,85.96,74.68,92.71,12.28,5.19,13.57
PRIVACY,PRIVACY,45,7,31,7,0,0,84.44,71.22,92.25,15.56,4.81,7.34
WASTE,WASTE,33,7,19,6,1,0,78.79,62.25,89.32,21.21,4.96,14.53
SUSTAINABILITY,SUSTAINABILITY,165,40,83,31,7,4,74.55,67.39,80.58,24.24,5.34,16.07
LIGHTING,Lighting,319,76,151,75,16,1,71.16,65.96,75.86,23.82,5.04,12.65
AIR_QUALITY,Air Quality & IAQ,652,179,271,172,22,8,69.02,65.37,72.45,27.45,5.91,15.68
INFO_REQUEST,INFO_REQUEST,116,14,66,16,19,1,68.97,60.05,76.66,12.07,4.92,14.6
THERMAL,Thermal Comfort,535,165,192,167,7,4,66.73,62.63,70.59,30.84,5.42,15.59
SECURITY,Security & Access,296,52,145,57,36,6,66.55,61.0,71.69,17.57,5.66,17.23
WELLBEING,WELLBEING,195,43,85,49,15,3,65.64,58.73,71.95,22.05,5.44,12.32
OTHER,Other / Cross-domain,1421,133,775,419,80,14,63.9,61.37,66.36,9.36,4.74,11.16
WATER,WATER,201,40,86,46,28,1,62.69,55.82,69.08,19.9,5.77,16.11
MAINTENANCE,MAINTENANCE,197,31,89,43,33,1,60.91,53.95,67.46,15.74,6.15,15.41
WAYFINDING,WAYFINDING,161,19,79,40,19,4,60.87,53.16,68.07,11.8,5.14,14.31
SAFETY,Safety & Compliance,298,44,131,86,37,0,58.72,53.06,64.17,14.77,5.33,14.9
ENERGY,Energy & Power,841,260,229,237,101,14,58.15,54.78,61.43,30.92,6.76,17.39
ACCESSIBILITY,ACCESSIBILITY,46,4,21,10,10,1,54.35,40.18,67.85,8.7,5.97,15.58
WEATHER_OUTDOOR,WEATHER_OUTDOOR,33,1,16,7,8,1,51.52,35.22,67.5,3.03,5.38,17.26
OCCUPANCY,Occupancy & Space,249,52,73,89,34,1,50.2,44.03,56.36,20.88,5.08,14.5
TRANSPORT,TRANSPORT,56,9,14,16,16,1,41.07,29.17,54.12,16.07,6.24,15.66
